iter	Passed	Remaining
411	3821	816
412	3829	806
413	3836	797
414	3845	787
415	3853	778
416	3861	768
417	3870	759
418	3880	750
419	3888	740
420	3897	731
421	3905	721
422	3912	712
423	3921	702
424	3929	693
425	3938	684
426	3946	674
427	3954	665
428	3964	656
429	3974	647
430	3983	637
431	3991	628
432	4000	618
433	4008	609
434	4016	600
435	4025	590
436	4032	581
437	4043	572
438	4052	563
439	4061	553
440	4069	544
441	4079	535
442	4088	526
443	4096	516
444	4105	507
445	4113	498
446	4122	488
447	4131	479
448	4139	470
449	4147	460
450	4155	451
451	4163	442
452	4172	432
453	4181	423
454	4189	414
455	4197	405
456	4206	395
457	4215	386
458	4224	377
459	4232	368
460	4241	358
461	4250	349
462	4261	340
463	4271	331
464	4280	322
465	4288	312
466	4299	303
467	4308	294
468	4316	285
469	4325	276
470	4334	266
471	4343	257
472	4351	248
473	4359	239
474	4367	229
475	4375	220
476	4383	211
477	4391	202
478	4398	192
479	4407	183
480	4415	174
481	4423	165
482	4434	156
483	4448	147
484	4455	137
485	4464	128
486	4471	119
487	4478	110
488	4487	100
489	4495	91
490	4502	82
491	4510	73
492	4518	64
493	4526	54
494	4536	45
495	4544	36
496	4552	27
497	4560	18
498	4569	9
499	4577	0
