iter	RMSE
349	58.97734821
350	58.9131687
351	58.86113329
352	58.84379811
353	58.81329308
354	58.76198554
355	58.72196532
356	58.69314998
357	58.62749352
358	58.59414966
359	58.55170064
360	58.50694909
361	58.47084195
362	58.43935034
363	58.41816634
364	58.40182364
365	58.35312706
366	58.30034952
367	58.23352211
368	58.18406518
369	58.15231171
370	58.12355419
371	58.06355689
372	58.03121679
373	57.98870075
374	57.92129335
375	57.85352377
376	57.80007572
377	57.755326
378	57.69689387
379	57.67990611
380	57.62195644
381	57.56695256
382	57.50895606
383	57.48497773
384	57.43088357
385	57.403729
386	57.35542669
387	57.31760644
388	57.29590991
389	57.26516629
390	57.22477486
391	57.18388211
392	57.1544632
393	57.12603272
394	57.09840839
395	57.07503076
396	57.02624282
397	56.99880666
398	56.95288717
399	56.92715278
400	56.88113487
401	56.8493149
402	56.82254733
403	56.78952066
404	56.71737978
405	56.68399284
406	56.63768373
407	56.62236836
408	56.5742369
409	56.53932929
410	56.48171318
411	56.4403686
412	56.4179622
413	56.3604499
414	56.33632104
415	56.30646324
416	56.27093741
417	56.23024018
418	56.20908329
419	56.19035807
420	56.15592819
421	56.12699407
422	56.10153854
423	56.08470323
424	56.05329421
425	55.99168271
426	55.97285299
427	55.94459851
428	55.90882741
429	55.87817503
430	55.83074231
431	55.79986799
432	55.74303492
433	55.71828442
434	55.7057467
435	55.65719367
436	55.63447838
437	55.5920666
438	55.55393711
439	55.51409029
440	55.48640643
441	55.43659002
442	55.40135907
443	55.38198888
444	55.34695366
445	55.32024673
446	55.30238053
447	55.25165337
448	55.22011572
449	55.18743728
450	55.16516586
451	55.13935736
452	55.09443908
453	55.06605014
454	55.0187088
455	55.00029109
456	54.95852576
457	54.91612068
458	54.87790071
459	54.84380017
460	54.81937465
461	54.78082772
462	54.76659736
463	54.72250394
464	54.69952061
465	54.67616382
466	54.65305246
467	54.61485285
468	54.57892578
469	54.53303122
470	54.50634288
471	54.49387837
472	54.47113863
473	54.45470603
474	54.43733035
475	54.39818697
476	54.34874654
477	54.3073052
478	54.28683232
479	54.24804677
480	54.22370869
481	54.19021258
482	54.1508263
483	54.13642375
484	54.11237784
485	54.09927761
486	54.08394771
487	54.0606369
488	54.01297405
489	53.977572
490	53.91877155
491	53.89247448
492	53.85058075
493	53.81732424
494	53.79314707
495	53.760959
496	53.75140399
497	53.70611317
498	53.66477165
499	53.62369711
